file	line	kind	name	uses	vetting	body_head	red_flags
Jacobians/Vendor/Wallace/HolomorphicForms/BranchedCover.lean	135	nc-def	BranchedCoverData.localInverseAt	4	vendored	Function.invFunOn f (h.local_bijective_unramified x hx).choo	
Jacobians/Vendor/Wallace/HolomorphicForms/BranchedCover.lean	172	nc-def	BranchedCoverData.weightedFiberCard	7	vendored	((h.finite_fiber y).toFinset).sum h.ramificationIndex  /-- *	
Jacobians/Vendor/Wallace/HolomorphicForms/BranchedCover.lean	183	nc-def	branchedDegree	11	vendored	h.weightedFiberCard (Classical.arbitrary Y)  /-- **Plan leaf	
Jacobians/Vendor/Wallace/HolomorphicForms/CotangentBundle.lean	77	nc-instance	instNormedAddCommGroupTangentSpace	0	vendored	inferInstanceAs (NormedAddCommGroup E)  /-- `NormedSpace ℂ` 	
Jacobians/Vendor/Wallace/HolomorphicForms/CotangentBundle.lean	87	nc-instance	instNormedSpaceTangentSpace	0	vendored	inferInstanceAs (NormedSpace ℂ E)  /-- The cotangent space a	
Jacobians/Vendor/Wallace/HolomorphicForms/CotangentBundle.lean	99	abbrev	CotangentSpace	4	vendored	TangentSpace (modelWithCornersSelf ℂ E) x →L[ℂ] (Bundle.Triv	
Jacobians/Vendor/Wallace/HolomorphicForms/CotangentBundle.lean	106	abbrev	CotangentModelFiber	5	vendored	E →L[ℂ] ℂ  /-- Sanity check: the cotangent space inherits a 	
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	53	nc-def	chartLocalAt	68	vendored	chartAt ℂ (f p) ∘ f ∘ (chartAt ℂ p).symm  /-- `f : X → Y` is	
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	57	def	IsHolomorphicAt	50	vendored	AnalyticAt ℂ (chartLocalAt f p) (chartAt ℂ p p)  /-- **Holom	
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	175	nc-def	mapAnalyticOrderAt	53	vendored	analyticOrderNatAt     (fun t => chartLocalAt f p t - chartL	
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	185	structure	IsHolomorphicBasic	5	vendored		
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	190	structure	HasLocalKfoldRamification	4	vendored		
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	207	structure	IsHolomorphic	19	vendored		
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	219	structure	HasWeightedFiberConservation	1	vendored		
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	248	def	IsHolomorphic.of_basic	1	vendored	hbasic   local_kfold_ramified := hkfold.local_kfold_ramified	near-orphan
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	281	nc-def	cotangentFiberIso	2	vendored	(ContinuousLinearMap.toSpanSingletonCLE (𝕜 := ℂ) (E := ℂ)).s	
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	285	nc-instance	instChartedSpaceCotangentModelFiber	0	vendored	cotangentFiberIso.toHomeomorph.toOpenPartialHomeomorph.singl	
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	290	nc-instance	instIsManifoldCotangentModelFiber	0	vendored	cotangentFiberIso.toHomeomorph.toOpenPartialHomeomorph.isMan	
Jacobians/Vendor/Wallace/HolomorphicForms/HolomorphicMap.lean	296	nc-def	IsHolomorphicAt.localInverse	5	vendored	fun y => (chartAt ℂ p).symm     (hf.hasStrictDerivAt.localIn	
Jacobians/Vendor/Wallace/HolomorphicForms/VanishingOrder.lean	80	structure	and	565	vendored		
Jacobians/Vendor/Wallace/HolomorphicForms/VanishingOrder.lean	90	def	MeromorphicAtX	8	vendored	MeromorphicAt (f ∘ (extChartAt 𝓘(ℂ) p).symm) (extChartAt 𝓘(ℂ	
Jacobians/Vendor/Wallace/HolomorphicForms/VanishingOrder.lean	104	nc-def	orderAt	19	vendored	meromorphicOrderAt (f ∘ (extChartAt 𝓘(ℂ) p).symm) (extChartA	
